店舗名,電話番号,メールアドレス,都道府県,市区町村,番地名,建物名,URL,SSL
CHAYA 1899 TOKYO,050-5486-7858,,東京都,港区,新橋6-4-1,HOTEL 1899 TOKYO 1F,https://e534102.gorp.jp/,True
バケット ららぽーと船橋店,047-495-6309,,千葉県,船橋市,浜町2-1-1,TOKYO-BAYららぽーと3F,http://www.saint-marc-hd.com/baqet/,False
丹波赤どり とりのや本店,050-5492-0865,,東京都,千代田区,大手町2-6-4,TOKYO TORCH 常磐橋タワーA棟2F,https://gaam608.gorp.jp/,True
どうとんぼり神座 ららテラスTOKYO‐BAY店,050-5488-6323,,千葉県,船橋市,若松2-2-1,ららテラスTOKYO-BAY2F,https://gjdh800.gorp.jp/,True
KUA’AINA ららぽーとTOKYO‐BAY店,050-5493-1649,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO‐BAY3F,https://gh9e914.gorp.jp/,True
６６ＫＩＴＣＨＥＮ ＴＯＫＹＯ－ＢＡＹ店,050-5492-1996,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY北館1F,https://ghg0700.gorp.jp/,True
サイゼリヤ ららぽーと南館1階店,047-495-8755,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY南館1F,http://www.saizeriya.co.jp/,False
クラフトビアマーケット TOKYO TORCH店,050-5486-6601,,東京都,千代田区,大手町2-6-4,TOKYO TORCH 常盤橋タワー1F,https://gfsm600.gorp.jp/,True
ダッキーダック カフェららぽーとTOKYO‐BAY店,050-5486-2274,towa-customer@towafood-net.co.jp,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY 北館1F,http://www.towafood-net.co.jp/duckyduck/index.htm,False
吉祥庵 ららぽーとTOKYO‐BAY店,050-5492-6416,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO－BAY南館3F,https://ghru800.gorp.jp/,True
上海柿安ららぽーとTOKYO‐BAY店,050-5489-3777,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY南館3F,https://a947912.gorp.jp/,True
焼鳥屋 鳥貴族 八丁堀店,050-3623-4173,,東京都,中央区,八丁堀1-11-3,DiaResto Tokyo Bldg B1,https://gfs7100.gorp.jp/,True
ヒルトップレイチェルカフェ ららぽーとTOKYO‐BAY店,050-5494-2330,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY 北館1F,https://gfgn309.gorp.jp/,True
串家物語 ららぽーとTOKYO‐BAY店,050-5489-4345,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYOーBAY南館3F,https://kczy624.gorp.jp/,True
無添くら寿司ららぽーとTOKYO－BAY店,047-495-6410,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY南館3F,https://www.kurasushi.co.jp/,True
スイーツパラダイス ららぽーとTOKYO‐BAY店,050-5493-8203,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY北館1F,https://ghwa002.gorp.jp/,True
しゃぶ菜 ららぽーとTB,050-5489-2679,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY北館3F（87310）,https://gh0d024.gorp.jp/,True
Himalaya Curry ヒマラヤカリーららぽーとTOKYO‐BAY店,050-5489-3556,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY ハーバーグリル1F,https://ge2y513.gorp.jp/,True
【冬鍋×夏バーベキュー×ビアガーデン】BBQてらす 御来光,050-5488-8404,,東京都,新宿区,歌舞伎町1-6-12,HANAMICHI TOKYO KABUKICHO4F,https://a636510.gorp.jp/,True
食のHANAMICHI,050-5489-1006,,東京都,新宿区,歌舞伎町1-6-12,HANAMICHI TOKYO KABUKICHO 3F・4F,https://a636511.gorp.jp/,True
新宿つな八 大丸東京店,050-5484-6620,,東京都,千代田区,丸の内1-9-1,大丸東京店12F,http://www.tunahachi.co.jp,False
吉野家 中野北口店,03-5345-7332,,東京都,中野区,中野5－66－3,,,
吉野家 平井店,03-5247-7122,,東京都,江戸川区,平井5－15－7,,,
吉野家 ＪＲ神田駅店,03-5298-5036,,東京都,千代田区,鍛冶町2－13－26,,,
吉野家 北新宿百人町店,03-6279-3610,,東京都,新宿区,百人町1－24－4,,,
TO今日BARグランスタ東京店,050-5492-6771,,東京都,千代田区,丸の内1-9-1,JR東京駅構内 グランスタ東京,https://ggxf015.gorp.jp/,True
station restaurant THE CENTRAL グランスタ東京,050-5489-6106,,東京都,千代田区,丸の内1-9-1,JR東京駅構内 グランスタ東京,https://ggxf014.gorp.jp/,True
CITYSHOP 東京駅店,050-5489-1781,,東京都,千代田区,丸の内1-9-1,JR東日本東京駅構内 1F グランスタ東京内,https://gc5c726.gorp.jp/,True
華祭北町ダイニング,050-5492-6821,,東京都,千代田区,丸の内1-9-1,JR東京駅,https://ggxf009.gorp.jp/,True
BEER HOUSE 森卯,050-5494-4588,,東京都,千代田区,丸の内1-9-1,東京駅一番街 2F 東京グルメゾン,https://g812141.gorp.jp/,True
吉野家 赤坂三丁目店,03-3560-7258,,東京都,港区,赤坂3－12－11,,,
吉野家 恵比寿駅前店,03-5457-7441,,東京都,渋谷区,恵比寿西1－9－6,,,
PRESS BUTTER SAND 大丸東京店,050-5485-0607,,東京都,千代田区,丸の内1-9-1,大丸東京店B1,https://ghyn420.gorp.jp/,True
